University,Department,Year,Enrollment,Graduation Rate (%),Dropout Rate (%),Funding Allocation (ZAR),Average GPA
Wits University,Health Science,2015,1888,71.61,10.64,1061613,2.63
Rhodes University,Health Science,2023,296,51.72,9.05,14347402,2.09
Stellenbosch University,Health Science,2023,735,90.59,11.89,5307051,2.15
University of Pretoria,Education,2015,796,80.5,13.37,14146712,2.46
Stellenbosch University,Engineering,2019,1552,81.79,8.95,8035698,2.19
Stellenbosch University,Education,2016,854,55.59,8.75,14424155,2.56
University of Johannesburg,Humanities,2020,1657,58.9,7.9,4858972,2.26
Rhodes University,Education,2022,706,61.78,23.93,11658422,2.76
University of Pretoria,Law,2021,1734,87.02,10.33,16926435,3.33
University of Johannesburg,Law,2021,2286,66.39,28.49,11404482,2.67
University of KwaZulu-Natal,Law,2018,575,53.36,19.79,16506835,2.41
Wits University,Engineering,2023,1909,63.63,26.21,1096880,3.61
University of KwaZulu-Natal,Law,2019,1313,78.89,14.53,4167022,2.13
Rhodes University,Education,2017,1671,55.66,5.52,11576725,2.98
Stellenbosch University,Education,2018,2105,76.02,27.86,15989306,3.73
Rhodes University,Engineering,2022,2752,82.19,18.57,11281725,3.12
University of KwaZulu-Natal,Engineering,2023,1598,51.77,11.2,8768174,2.57
University of Cape Town,Education,2015,2751,71.3,8.17,6012823,2.01
Stellenbosch University,Education,2015,471,66.88,18.57,2911694,3.43
University of Pretoria,Law,2024,954,74.92,26.8,19059446,3.11
Wits University,Law,2020,1333,64.69,28.98,1850529,2.84
University of Pretoria,Education,2021,1259,73.48,14.32,11905660,2.8
University of Pretoria,Engineering,2022,719,72.88,24.65,3111263,2.56
University of Cape Town,Health Science,2015,1399,92.42,12.89,4329770,2.3
Wits University,Education,2016,1564,62.12,17.71,19213370,2.9
Stellenbosch University,Health Science,2017,134,59.62,7.91,5131558,2.33
University of Johannesburg,Law,2015,1804,57.92,24.73,13913661,2.26
Stellenbosch University,Humanities,2015,2262,85.76,27.62,11634519,3.72
University of KwaZulu-Natal,Health Science,2019,338,70.33,12.71,5790277,2.15
Stellenbosch University,Humanities,2022,2268,91.29,5.58,10183870,2.11
University of Cape Town,Health Science,2022,441,55.38,5.81,16249813,2.52
University of Johannesburg,Engineering,2022,2243,65.95,6.57,19487228,2.49
University of KwaZulu-Natal,Education,2023,2007,51.37,6.93,4016383,2.76
University of Johannesburg,Law,2015,2395,63.57,5.96,9127285,3.4
University of KwaZulu-Natal,Humanities,2017,2292,84.3,22.04,14873225,3.38
University of KwaZulu-Natal,Engineering,2018,383,75.05,20.81,14582756,3.0
University of Pretoria,Law,2022,170,80.76,15.14,11590276,2.44
Wits University,Education,2019,2100,61.68,21.91,18040908,3.55
University of KwaZulu-Natal,Law,2015,641,76.13,24.4,14810047,2.55
University of Pretoria,Engineering,2016,2987,66.42,17.37,14175304,3.94
Stellenbosch University,Engineering,2015,2324,94.99,22.12,3382446,2.54
Rhodes University,Health Science,2024,1714,66.49,29.03,948090,2.5
University of Cape Town,Humanities,2019,317,80.0,25.91,7603461,3.27
Stellenbosch University,Engineering,2024,925,53.78,22.09,8384664,2.2
University of KwaZulu-Natal,Health Science,2019,1672,72.09,14.43,19744002,2.63
University of Johannesburg,Education,2015,1739,74.7,24.98,13990935,2.94
Rhodes University,Engineering,2020,1286,81.28,13.36,17724686,3.52
Stellenbosch University,Education,2017,2067,74.49,19.37,9967181,3.4
Rhodes University,Engineering,2016,1441,51.45,27.82,14159687,3.87
Wits University,Education,2022,1882,77.39,22.86,6471149,3.77
Wits University,Health Science,2018,1588,74.61,18.78,17081196,3.82
University of Cape Town,Engineering,2015,2533,74.72,19.06,4534633,3.43
Rhodes University,Humanities,2016,2562,65.94,13.36,5012241,3.73
University of Johannesburg,Health Science,2015,2508,92.03,15.74,12168302,2.39
University of Cape Town,Engineering,2020,2287,52.01,27.0,7986989,3.98
University of Johannesburg,Humanities,2020,942,72.64,18.32,2638798,3.92
Rhodes University,Education,2023,2646,55.67,11.13,17785256,3.23
University of Cape Town,Humanities,2024,1218,74.49,28.43,7383840,2.42
University of Johannesburg,Humanities,2023,149,76.67,28.86,1529684,2.0
Rhodes University,Education,2023,598,65.62,29.6,16260426,2.02
University of Johannesburg,Health Science,2018,233,77.39,11.33,3573558,2.79
University of KwaZulu-Natal,Health Science,2017,904,80.51,19.66,2501459,2.99
University of Johannesburg,Education,2022,2486,57.84,14.51,15064454,3.55
Wits University,Humanities,2024,831,88.81,9.74,1757049,2.08
Stellenbosch University,Humanities,2016,2261,53.07,7.11,8577483,2.82
Wits University,Law,2015,1701,66.97,26.03,14260787,2.17
Stellenbosch University,Law,2024,1907,53.11,26.92,19090810,2.22
University of Cape Town,Humanities,2019,2743,57.41,27.48,14387896,2.88
University of Cape Town,Engineering,2020,1029,79.51,13.7,18418792,2.69
University of Pretoria,Education,2016,2193,90.45,8.38,1793897,2.32
Rhodes University,Education,2016,2059,67.98,16.05,5598105,3.55
University of Johannesburg,Law,2018,2322,63.59,20.09,13558174,2.86
Rhodes University,Engineering,2022,1852,88.69,12.72,6952796,2.52
University of Pretoria,Engineering,2022,2892,86.43,29.27,14998888,2.52
University of Pretoria,Humanities,2019,980,67.21,8.24,4335694,3.06
Wits University,Humanities,2016,2561,83.91,21.06,10850453,2.81
Wits University,Engineering,2023,1461,64.17,24.34,6481490,3.57
University of KwaZulu-Natal,Humanities,2022,2313,52.04,8.9,10791162,3.1
University of KwaZulu-Natal,Health Science,2020,135,67.17,15.74,2879143,3.68
University of Cape Town,Humanities,2015,1453,51.51,21.45,795260,3.47
Wits University,Education,2019,1554,91.79,11.63,8785576,2.3
Wits University,Law,2019,2091,55.98,14.17,15040611,3.65
Rhodes University,Health Science,2018,626,66.65,25.18,7605485,3.95
University of Johannesburg,Health Science,2018,2291,66.45,18.9,13694456,3.74
University of Pretoria,Education,2020,850,53.11,24.92,17480862,3.74
Wits University,Humanities,2024,2209,66.9,27.42,19687754,2.26
University of Johannesburg,Engineering,2022,363,78.16,27.1,15162296,3.34
Rhodes University,Education,2020,120,92.46,15.88,11983891,2.72
University of Pretoria,Health Science,2015,2305,69.21,29.89,6160765,2.93
University of KwaZulu-Natal,Humanities,2020,2879,54.7,23.94,19643116,2.14
Rhodes University,Engineering,2024,1713,77.27,5.85,12394823,3.94
Wits University,Health Science,2016,2442,69.09,12.05,5905329,3.01
University of KwaZulu-Natal,Humanities,2019,386,65.47,24.47,16731054,2.22
University of KwaZulu-Natal,Law,2021,1484,92.61,28.37,19356276,3.87
Wits University,Engineering,2020,1318,65.75,21.44,10268309,2.95
University of Cape Town,Education,2023,1488,84.73,14.96,7122084,3.33
University of Cape Town,Health Science,2019,2349,59.73,14.37,18896297,2.62
University of KwaZulu-Natal,Engineering,2018,1979,92.16,9.93,17903796,2.8
University of Cape Town,Law,2018,1282,51.55,14.92,4233359,3.73
University of Pretoria,Engineering,2022,985,89.08,25.0,12430967,2.17
Stellenbosch University,Engineering,2020,175,73.39,23.51,19560298,2.32
University of Cape Town,Humanities,2021,2344,90.84,7.05,7108144,2.05
University of KwaZulu-Natal,Engineering,2017,1288,90.96,15.32,19646373,3.62
Wits University,Engineering,2022,2842,61.61,11.68,11189896,2.92
Stellenbosch University,Humanities,2023,2219,90.73,14.91,9038053,3.74
University of KwaZulu-Natal,Education,2017,1170,68.67,16.95,10572218,3.17
University of Cape Town,Humanities,2019,1593,82.61,23.9,2090916,3.19
Rhodes University,Education,2022,1894,80.84,8.11,18104834,3.05
Stellenbosch University,Health Science,2021,1376,79.72,15.42,7665112,2.35
Wits University,Law,2015,815,52.26,12.4,17079236,3.85
University of Pretoria,Law,2018,1369,59.33,12.54,18607739,2.11
Rhodes University,Health Science,2017,2331,87.54,8.34,6675934,2.78
University of KwaZulu-Natal,Engineering,2015,464,68.8,24.48,17723019,3.17
University of Cape Town,Health Science,2019,1544,62.39,13.86,16682239,2.06
University of Pretoria,Humanities,2022,754,71.39,10.04,12857664,2.97
Wits University,Engineering,2017,145,87.37,29.85,3132018,3.83
Stellenbosch University,Health Science,2017,2699,66.69,12.92,1274522,3.86
University of Cape Town,Education,2019,2710,60.73,12.3,16855975,3.1
Wits University,Education,2019,1293,57.79,22.08,14826162,3.14
University of KwaZulu-Natal,Law,2021,2615,73.86,8.73,4440039,3.32
Wits University,Humanities,2020,985,74.07,10.42,10289770,3.51
University of KwaZulu-Natal,Humanities,2016,2902,66.99,13.5,5917065,2.15
University of Pretoria,Law,2024,2755,57.77,20.27,5429886,3.27
University of Cape Town,Humanities,2023,656,70.2,12.64,14741740,3.84
University of Pretoria,Law,2020,2998,76.23,28.98,6294334,2.54
University of KwaZulu-Natal,Education,2015,2267,93.51,11.48,9514091,3.63
University of Johannesburg,Humanities,2018,2041,87.57,22.29,13757156,3.16
Wits University,Education,2017,2689,80.58,9.51,8591055,3.49
University of Johannesburg,Engineering,2020,2934,68.75,16.62,3751497,2.74
University of Cape Town,Law,2019,951,72.26,26.99,3210706,2.24
University of KwaZulu-Natal,Law,2023,339,69.92,11.59,19464583,3.44
University of Johannesburg,Humanities,2023,2751,57.4,28.04,18870155,2.1
University of Johannesburg,Humanities,2022,1899,58.17,14.13,5006796,2.98
University of Pretoria,Education,2024,1415,76.61,24.56,12480959,3.52
Wits University,Education,2019,437,68.3,26.12,18269036,2.3
Wits University,Humanities,2018,2751,80.16,6.17,9889947,3.13
Stellenbosch University,Humanities,2018,941,82.09,21.75,8590252,3.55
Rhodes University,Health Science,2021,836,52.87,27.7,1319204,2.49
University of Cape Town,Health Science,2023,173,62.07,16.59,19381505,2.06
University of Cape Town,Health Science,2017,1284,78.39,20.8,4779188,3.69
Rhodes University,Engineering,2017,551,76.79,14.27,5562110,2.5
Rhodes University,Law,2016,688,91.05,27.92,14889047,2.9
University of Cape Town,Humanities,2015,2073,63.83,17.45,2115141,3.88
Rhodes University,Health Science,2015,2301,65.41,19.26,8541189,2.78
University of Cape Town,Law,2024,754,72.76,27.13,16369790,2.76
University of Johannesburg,Law,2016,1005,92.74,10.52,13081883,3.86
University of KwaZulu-Natal,Education,2019,895,64.81,24.0,6016194,3.44
University of Pretoria,Education,2020,2955,64.86,15.02,1792870,3.83
University of Johannesburg,Education,2023,1821,73.59,27.98,4963597,2.86
Rhodes University,Engineering,2023,268,83.32,12.53,3701843,3.27
Wits University,Law,2021,1475,64.97,15.44,14791255,2.41
University of Pretoria,Law,2020,280,92.72,17.79,14530211,2.92
University of KwaZulu-Natal,Humanities,2017,1709,82.45,7.13,11469605,2.5
University of Cape Town,Engineering,2022,454,68.92,6.52,638306,3.4
Wits University,Education,2022,2714,84.36,14.37,11211137,2.63
University of Cape Town,Health Science,2019,1731,50.63,22.48,14882621,3.17
University of Cape Town,Education,2016,420,67.26,6.06,1495866,2.41
Wits University,Engineering,2017,691,66.47,26.93,1553174,3.83
University of KwaZulu-Natal,Engineering,2017,766,67.38,11.89,9382466,2.62
University of Cape Town,Engineering,2023,136,74.64,7.74,9441624,3.62
Stellenbosch University,Humanities,2015,938,51.96,5.38,19820235,3.07
University of Johannesburg,Humanities,2016,236,65.27,18.97,18895876,3.22
University of Pretoria,Education,2017,685,87.83,13.12,5315799,3.99
Stellenbosch University,Engineering,2015,639,51.14,17.54,16279306,3.83
University of Cape Town,Education,2018,2556,83.25,23.0,3254753,3.96
Wits University,Health Science,2015,488,89.52,18.65,1330774,3.23
University of Pretoria,Engineering,2021,836,60.62,14.01,17523719,3.35
University of Johannesburg,Education,2024,480,70.22,5.77,8440007,3.31
University of KwaZulu-Natal,Education,2016,2397,60.58,12.49,5135371,2.79
University of Cape Town,Humanities,2017,2686,82.47,27.24,4406664,2.82
University of Johannesburg,Education,2019,2387,68.99,9.73,1080772,2.99
University of Johannesburg,Engineering,2017,1620,62.77,24.06,14918890,3.21
Wits University,Engineering,2018,1581,76.86,12.88,8508033,2.86
University of Cape Town,Engineering,2021,1187,79.79,26.29,16070125,3.53
Stellenbosch University,Humanities,2022,793,82.05,15.37,980400,2.06
University of Cape Town,Law,2019,1510,87.24,15.44,1732492,3.66
University of Cape Town,Law,2015,2718,65.4,27.27,4105056,2.34
University of Johannesburg,Engineering,2015,2685,66.01,23.8,12406444,3.63
University of Pretoria,Humanities,2022,2581,72.76,19.95,13241313,2.81
University of Cape Town,Education,2024,420,76.32,15.79,12005444,2.63
Rhodes University,Law,2020,2311,62.24,20.27,19843293,2.19
Stellenbosch University,Engineering,2016,1225,67.54,16.13,17977023,2.09
Stellenbosch University,Engineering,2021,2285,60.99,16.32,7326431,3.13
Stellenbosch University,Law,2017,1926,70.57,19.69,12363215,2.88
Rhodes University,Health Science,2019,2974,82.74,7.81,8553509,3.3
Rhodes University,Engineering,2022,1806,88.22,13.77,8661852,3.26
Rhodes University,Education,2015,400,57.25,6.01,7908850,2.52
University of Pretoria,Education,2016,2858,75.07,12.16,18246101,3.51
Wits University,Education,2020,1460,77.21,10.06,5198629,2.18
University of Johannesburg,Law,2019,1079,92.09,16.48,15711155,2.63
Rhodes University,Humanities,2023,244,91.59,13.92,13233873,3.44
Rhodes University,Health Science,2015,808,62.06,27.68,14837915,3.92
University of Johannesburg,Education,2018,243,78.26,28.2,3949089,2.86
University of KwaZulu-Natal,Engineering,2018,2032,54.24,17.73,4162794,2.97
University of Pretoria,Health Science,2022,1140,68.74,9.64,3933992,2.64
University of Cape Town,Law,2018,1052,71.63,5.12,8761545,2.96
Stellenbosch University,Humanities,2024,1424,75.56,7.39,4472376,3.08
Rhodes University,Law,2021,309,69.02,20.02,4829268,3.97
Wits University,Law,2017,965,50.74,5.77,18378342,3.79
University of KwaZulu-Natal,Engineering,2018,1341,94.83,24.32,3415795,3.05
University of KwaZulu-Natal,Humanities,2017,162,63.33,7.79,15405949,3.47
University of Johannesburg,Law,2018,1898,63.37,24.01,9990737,2.71
Stellenbosch University,Health Science,2024,928,87.26,25.35,5514525,3.64
Stellenbosch University,Engineering,2021,1631,85.07,8.64,17313183,2.77
Rhodes University,Law,2019,2641,62.72,14.34,7231592,3.95
Rhodes University,Humanities,2020,2416,86.96,20.27,10449080,2.49
University of Pretoria,Engineering,2019,314,83.34,27.15,13456961,3.67
Stellenbosch University,Education,2017,2880,56.71,7.23,18552227,3.61
Wits University,Health Science,2022,1369,81.72,21.67,1630545,2.29
Stellenbosch University,Education,2021,2410,58.56,6.44,12524659,3.7
University of Cape Town,Humanities,2020,1634,81.54,28.35,1236582,3.23
University of KwaZulu-Natal,Humanities,2018,526,94.91,14.41,14121396,3.46
University of Cape Town,Law,2022,2985,84.02,23.51,6716311,3.53
University of Pretoria,Engineering,2022,1063,74.74,8.47,19566799,2.51
University of KwaZulu-Natal,Health Science,2015,686,94.72,12.69,13265860,2.7
Wits University,Law,2017,1074,85.63,20.26,17149364,2.22
Rhodes University,Health Science,2024,893,88.27,14.78,5899039,3.79
University of Cape Town,Humanities,2016,121,58.51,6.95,8921210,2.03
Rhodes University,Engineering,2015,1663,74.98,16.14,18823741,2.83
Stellenbosch University,Humanities,2022,1976,54.01,14.33,6522776,2.33
University of KwaZulu-Natal,Education,2023,1158,62.42,27.78,19477310,2.91
University of Cape Town,Education,2018,975,66.5,15.67,14859426,2.53
University of Pretoria,Law,2022,1975,76.12,22.54,4432263,2.57
University of Johannesburg,Education,2019,2675,64.17,22.06,12434465,2.83
University of Cape Town,Humanities,2017,2426,86.82,16.77,881115,2.34
Wits University,Health Science,2023,2979,74.59,15.8,12652766,2.89
University of Cape Town,Humanities,2023,134,59.35,9.96,3435694,2.14
University of Cape Town,Health Science,2019,2081,71.58,11.87,18301688,2.2
University of Pretoria,Education,2018,300,89.22,14.55,12856527,3.77
University of Cape Town,Humanities,2015,2787,92.53,13.48,19642781,3.65
University of Johannesburg,Education,2020,1592,89.24,27.31,19646637,2.36
Rhodes University,Law,2017,1281,83.98,24.77,4953683,3.7
University of Pretoria,Education,2018,1415,84.05,21.37,3016593,3.29
University of Cape Town,Humanities,2023,2527,75.44,7.22,16585568,2.91
University of KwaZulu-Natal,Health Science,2017,1308,58.63,5.12,19832387,2.01
University of Pretoria,Law,2022,1503,55.36,5.32,16824746,3.3
Rhodes University,Health Science,2020,269,83.1,10.22,2235448,3.03
Wits University,Health Science,2020,1596,90.05,16.27,3571770,3.3
University of Cape Town,Health Science,2016,346,78.36,23.27,10182933,3.56
Stellenbosch University,Education,2022,2091,70.39,6.38,10664696,2.41
University of Johannesburg,Health Science,2016,659,53.98,9.86,17634160,2.63
University of Johannesburg,Law,2019,2142,88.57,26.16,9047889,3.27
Wits University,Law,2017,1988,51.49,12.49,15670189,3.33
University of Pretoria,Education,2024,2207,51.89,20.68,686684,2.52
University of Cape Town,Education,2018,268,81.54,10.12,16401487,3.36
University of KwaZulu-Natal,Humanities,2020,2993,79.08,15.82,1781935,2.88
University of Cape Town,Education,2017,1797,56.92,13.8,19967969,2.73
Rhodes University,Engineering,2023,2667,78.73,11.57,15975127,3.53
University of KwaZulu-Natal,Engineering,2024,2208,73.11,19.1,1458048,2.25
Rhodes University,Engineering,2019,1754,86.24,26.2,13543315,2.51
Rhodes University,Law,2020,2295,61.26,21.3,14279461,2.53
University of Cape Town,Humanities,2020,1053,81.09,18.53,13820847,3.44
University of Pretoria,Education,2022,350,55.53,15.32,11187987,2.47
University of Johannesburg,Health Science,2017,1691,50.65,24.97,8405034,2.12
Rhodes University,Humanities,2015,2113,92.58,17.63,10578121,2.13
Stellenbosch University,Law,2021,1836,72.43,13.99,15767779,2.01
